Longitude Latitude Value
61.832657 24.150237 0.579124
61.862228 24.150237 0.582264
61.891799 24.150237 0.584962
61.921370 24.150237 0.586545
61.950942 24.150237 0.587831
61.980513 24.150237 0.588287
62.010084 24.150237 0.589339
62.039655 24.150237 0.590941
62.069227 24.150237 0.591548
62.098798 24.150237 0.591562
62.128369 24.150237 0.593926
62.157940 24.150237 0.596608
59.910527 24.156380 0.431291
59.940098 24.156380 0.432230
59.969669 24.156380 0.433684
59.999241 24.156380 0.434784
60.028812 24.156380 0.435957
60.058383 24.156380 0.436927
60.087954 24.156380 0.437724
60.117526 24.156380 0.439732
60.147097 24.156380 0.442215
60.176668 24.156380 0.444905
60.206239 24.156380 0.447698
60.235810 24.156380 0.451073
60.265382 24.156380 0.454167
60.294953 24.156380 0.457548
60.324524 24.156380 0.461177
60.354095 24.156380 0.464380
60.383667 24.156380 0.466406
60.413238 24.156380 0.468072
60.442809 24.156380 0.469508
60.472380 24.156380 0.470880
60.501951 24.156380 0.472414
60.531523 24.156380 0.474431
60.561094 24.156380 0.476799
60.590665 24.156380 0.478632
60.620236 24.156380 0.480880
60.649808 24.156380 0.483705
60.679379 24.156380 0.486384
60.708950 24.156380 0.488979
60.738521 24.156380 0.492036
60.768093 24.156380 0.494515
60.797664 24.156380 0.497371
60.827235 24.156380 0.499385
60.856806 24.156380 0.501387
60.886377 24.156380 0.503606
60.915949 24.156380 0.505608
60.945520 24.156380 0.507499
60.975091 24.156380 0.508621
61.004662 24.156380 0.510944
61.034234 24.156380 0.513624
61.063805 24.156380 0.517431
61.093376 24.156380 0.521537
61.122947 24.156380 0.523395
61.152518 24.156380 0.524814
61.182090 24.156380 0.526354
61.211661 24.156380 0.527749
61.241232 24.156380 0.529321
61.270803 24.156380 0.530780
61.300375 24.156380 0.532628
61.329946 24.156380 0.534115
61.359517 24.156380 0.536205
61.389088 24.156380 0.539273
61.418660 24.156380 0.541360
61.448231 24.156380 0.544050
61.477802 24.156380 0.546087
61.507373 24.156380 0.548646
61.536944 24.156380 0.551156
61.566516 24.156380 0.553487
61.596087 24.156380 0.555963
61.625658 24.156380 0.558737
61.655229 24.156380 0.561097
61.684801 24.156380 0.563599
61.714372 24.156380 0.566052
61.743943 24.156380 0.568400
61.773514 24.156380 0.571982
61.803085 24.156380 0.574912
61.832657 24.156380 0.577637
61.862228 24.156380 0.580816
61.891799 24.156380 0.583509
61.921370 24.156380 0.585293
61.950942 24.156380 0.586605
61.980513 24.156380 0.587152
62.010084 24.156380 0.588311
62.039655 24.156380 0.589700
62.069227 24.156380 0.590311
62.098798 24.156380 0.590516
62.128369 24.156380 0.593008
62.157940 24.156380 0.595500
62.187511 24.156380 0.598720
62.217083 24.156380 0.602564
62.246654 24.156380 0.607037
59.851384 24.162524 0.427027
59.880956 24.162524 0.429062
59.910527 24.162524 0.430767
59.940098 24.162524 0.431476
59.969669 24.162524 0.433127
59.999241 24.162524 0.434128
60.028812 24.162524 0.435209
60.058383 24.162524 0.436201
60.087954 24.162524 0.436960
60.117526 24.162524 0.439163
60.147097 24.162524 0.441596
60.176668 24.162524 0.444177
60.206239 24.162524 0.446986
60.235810 24.162524 0.450111
60.265382 24.162524 0.453269
60.294953 24.162524 0.456606
60.324524 24.162524 0.460294
60.354095 24.162524 0.462817
60.383667 24.162524 0.465007
60.413238 24.162524 0.466868
60.442809 24.162524 0.468358
60.472380 24.162524 0.469642
60.501951 24.162524 0.471101
60.531523 24.162524 0.473188
60.561094 24.162524 0.475564
60.590665 24.162524 0.477514
60.620236 24.162524 0.479715
60.649808 24.162524 0.482492
60.679379 24.162524 0.484994
60.708950 24.162524 0.487637
60.738521 24.162524 0.490415
60.768093 24.162524 0.493046
60.797664 24.162524 0.495996
60.827235 24.162524 0.498031
60.856806 24.162524 0.500282
60.886377 24.162524 0.502336
60.915949 24.162524 0.504277
60.945520 24.162524 0.505848
